Date;Price;Open;High;Low;Vol.;Change %
2022-04-04 00:00:00;43,932;42,23;47,45;40,41;101010000;-0,0053
2022-04-11 00:00:00;42,836;45,35;45,67;41,25;56140000;-0,0229
2022-04-18 00:00:00;40,694;42;42,8;38,31;28530000;-0,0055
2022-04-25 00:00:00;41,102;39,58;42,34;38,3;50620000;-0,0119
2022-05-02 00:00:00;43,645;41,51;44,93;41,31;32790000;0,0293
2022-05-09 00:00:00;44,16333333;44,84;44,84;43,01;11850000;-0,0153
2022-05-16 00:00:00;43,33;43,98;44,7;42,01;13540000;0,0198
2022-05-23 00:00:00;43,938;43,67;45,87;40,47;38910000;-0,057
2022-05-30 00:00:00;38,436;41;41,1;36,9;62680000;-0,0463
2022-06-06 00:00:00;34,13;36,95;37;31,25;96380000;-0,0468
2022-06-13 00:00:00;31,2725;31,48;32,44;29,65;52160000;-0,0036
2022-06-20 00:00:00;32,734;30,8;34,96;30,2;61700000;0,0308
2022-06-27 00:00:00;34,116;34,4;35,32;33,03;72280000;-0,0102
2022-07-04 00:00:00;32,44;33,5;33,75;31,3;64150000;-0,033
2022-07-11 00:00:00;31,55;31,3;32,87;30,66;76080000;-0,0237
2022-07-18 00:00:00;28,224;30,75;30,78;26,8;105490000;-0,014
2022-07-25 00:00:00;26,366;27,11;27,12;25,5;87570000;0,0117
2022-08-01 00:00:00;27,176;26,95;28,1;26,02;140360000;0,0502
2022-08-08 00:00:00;24,38;27,8;28,18;22,75;279310000;0,0149
2022-08-15 00:00:00;25,436;23,77;27,14;23,42;145790000;0,0362
2022-08-22 00:00:00;26,828;27,2;27,62;26,01;87970000;-0,0037
2022-08-29 00:00:00;27,266;26,93;28,18;26,64;53380000;0,0323
2022-09-05 00:00:00;29,458;28,3;30,42;28,21;83070000;0,0133
2022-09-12 00:00:00;29,06;30,4;30,5;28,1;76220000;0,0257
2022-09-19 00:00:00;29,738;29,73;30,76;28,41;65800000;-0,0088
2022-09-26 00:00:00;26,458;30;30;22;194910000;-0,0918
2022-10-03 00:00:00;23,888;23,44;26,19;21,66;177810000;0,0726
2022-10-10 00:00:00;24,962;26,3;26,3;23,37;103760000;0,0554
2022-10-17 00:00:00;26,628;25,35;28,16;25,17;109550000;0,0757
2022-10-24 00:00:00;28,126;28,2;29,8;26,22;222190000;0,0252
2022-10-31 00:00:00;31,19;29,63;32,65;29,37;166950000;-0,0268
2022-11-07 00:00:00;31,495;31,25;33,23;29,86;106130000;0,0456
2022-11-14 00:00:00;31,25;32,99;33,41;30,4;130050000;0,0003
2022-11-21 00:00:00;30,15;31,07;31,3;29;82440000;-0,0036
2022-11-28 00:00:00;30,968;29,99;31,7;29,79;103400000;0,001
2022-12-05 00:00:00;31,43;31,05;31,99;30,88;70180000;-0,0003
2022-12-12 00:00:00;31,504;31,28;32,1;30,75;68410000;0,0103
2022-12-19 00:00:00;32,01;31,88;33,15;31,05;92920000;0,0408
2022-12-26 00:00:00;32,03;32,95;34,2;31,25;113860000;0,0064
2023-01-02 00:00:00;32,34;32,26;32,97;31,82;29110000;0,0203
2023-01-09 00:00:00;33,286;32,9;33,63;32,72;28880000;-0,003
2023-01-16 00:00:00;33,892;33,17;34,73;32,88;43360000;0,0166
2023-01-23 00:00:00;34,098;34,67;34,86;33,51;44860000;0,008
2023-01-30 00:00:00;34,328;34,13;35,49;33,6;52490000;0,0332
2023-02-06 00:00:00;37,42;35,54;38,79;35,28;115990000;0,0071
2023-02-13 00:00:00;38,172;38,38;38,9;37,54;59610000;-0,0016
2023-02-20 00:00:00;36,584;38,36;38,45;35,26;82380000;0,0081
2023-02-27 00:00:00;38,76;36,88;39,5;36,88;78790000;0,007
2023-03-06 00:00:00;39,43;39,21;40,09;38,43;68650000;0,0077
2023-03-13 00:00:00;41,4;40,08;42,67;39,6;90630000;-0,0141
2023-03-20 00:00:00;40,494;41,5;41,61;39,43;113600000;0,0066
2023-03-27 00:00:00;39,28;40,28;40,52;38,77;83190000;0,0126
2023-04-03 00:00:00;39,92;39,45;41;38,91;111090000;-0,0138
